0,1,2,3,4,5
Character,Killed by,Cause of death,Date of death,Last line,Notes
Sir Nicholas de Mimsy-Porpington (Nearly-Headless Nick),Muggle executioner,Botched beheading,31 October 1492,Asking his confessor if he should wear a hat to his execution,"Executed on behalf of King Henry VII for a magical mishap with a lady-in-waiting, Lady Grieve; died after 45 chops with the head still attached. Later became Gryffindor House ghost at Hogwarts School of Witchcraft and Wizardry."
Cuthbert Binns,N/A,Natural causes,Unknown,Unknown,"Died in his sleep in a chair in front of the Hogwarts staff room fireplace. His ghost awoke and continued to teach History of Magic at Hogwarts, said not to have noticed his death.[1]"
Marlene McKinnon and her family,Multiple Death Eaters (including Travers),Possibly murdered by unknown means on Lord Voldemort's orders,July 1981,Unknown / Varies,Killed for being part of the Order of the Phoenix.
Edgar Bones (and his wife and children),Death Eaters,1981,,,
Gideon Prewett,5 Death Eaters (including Antonin Dolohov),"Killed for being part of the Order of the Phoenix. Brutal killing, but Gideon and Fabian apparently died like heroes.",,,
Fabian Prewett,,,,,
James Potter,Lord Voldemort,Killing Curse,31 October 1981,"'Lily, take Harry and go! It's him! I'll hold him off!'","Killed trying to defend their son Harry when Voldemort attacked their cottage (the Fidelius Charm over which having been betrayed by its Secret-Keeper) in his first attempt to avert the prophecy of his downfall. As a result, Lily's sacrifice made the curse for Harry rebound, marking Voldemort's first defeat and her son's unexpected fame."
Lily Potter,'Please... have mercy...have mercy... Not Harry! Not Harry! Please — I'll do anything!',,,,
2 Unicorns,Quirinus Quirrell (influenced by Lord Voldemort's soul),Mauling,26 May 1992,Unknown,"Killed so Voldemort could drink their blood in order to strengthen himself, at the price of incurring an unspecified and extremely severe curse reputed to be 'worse than death'.[2]"
